,Time1,DAU1,Time2,DAU2,Time3,DAU3,Time4,DAU4,Time5,DAU5,Time6,DAU6,Time7,DAU7,Time8,DAU8,Time9,DAU9,Time10,DAU10,Time11,DAU11,Time12,DAU12,Time13,DAU13,Time14,smbi,Time15,label
56,-1.399999999,0.001220703,-1.399999999,0.003051758,-1.399999999,0.001525879,-1.399999999,-0.000305176,-1.399999999,0.001220703,-1.399999999,0.003051758,-1.399999999,-0.000305176,-1.399999999,0.002136231,-1.399999999,-0.001525879,-1.399999999,0.002746582,-1.399999999,-0.000915527,-1.399999999,0.003356934,-1.399999999,0.001220703,-1.399999999,0.027850006,-0.399999999,0.037912272
57,-1.299999999,-0.000305176,-1.299999999,0.001220703,-1.299999999,0.000305176,-1.299999999,-0.000610352,-1.299999999,0.000915527,-1.299999999,0.001831055,-1.299999999,-0.000610352,-1.299999999,0.002746582,-1.299999999,-0.002746582,-1.299999999,0.001831055,-1.299999999,-0.001220703,-1.299999999,0.001220703,-1.299999999,0.000305176,-1.299999999,0.025653673,-0.3,0.007725472
58,-1.2,0.001525879,-1.2,0.004272461,-1.2,0.002746582,-1.2,-0.000305176,-1.2,0.002136231,-1.2,0.003356934,-1.2,0.000915527,-1.2,0.003051758,-1.2,-0.001525879,-1.2,0.003051758,-1.2,0.000305176,-1.2,0.00579834,-1.2,0.001525879,-1.2,0.024338428,-0.199999999,-0.03023788
59,-1.1,-0.000915527,-1.1,0.000610352,-1.1,0,-1.1,-0.002136231,-1.1,0,-1.1,0.001525879,-1.1,-0.002136231,-1.1,0.000305176,-1.1,-0.002746582,-1.1,0.000305176,-1.1,-0.002136231,-1.1,0.001831055,-1.1,0,-1.1,0.021554705,-0.099999999,-0.06838
60,-0.999999999,0.001220703,-0.999999999,0.003051758,-0.999999999,0.001525879,-0.999999999,-0.000305176,-0.999999999,0.001831055,-0.999999999,0.003051758,-0.999999999,0.000610352,-0.999999999,0.003356934,-0.999999999,-0.002136231,-0.999999999,0.002746582,-0.999999999,0,-0.999999999,0.003356934,-0.999999999,0.001525879,-0.999999999,0.033251453,0,-0.08796822
61,-0.899999999,0.002136231,-0.899999999,0.002136231,-0.899999999,0.001525879,-0.899999999,0.002441406,-0.899999999,0.001525879,-0.899999999,0.002441406,-0.899999999,0.000610352,-0.899999999,0.003662109,-0.899999999,-0.001525879,-0.899999999,0.001831055,-0.899999999,0.000305176,-0.899999999,0.003967285,-0.899999999,0.001831055,-0.899999999,0.041806933,0.1,-0.10615181
62,-0.8,0.000305176,-0.8,0.003051758,-0.8,0,-0.8,0.003662109,-0.8,0.001525879,-0.8,0.001525879,-0.8,-0.000610352,-0.8,0.002441406,-0.8,-0.001831055,-0.8,0.001525879,-0.8,-0.001220703,-0.8,0.003662109,-0.8,0.000610352,-0.8,0.04817885,0.2,-0.119827814
63,-0.699999999,0,-0.699999999,0.001525879,-0.699999999,0,-0.699999999,-0.003356934,-0.699999999,0,-0.699999999,0.000610352,-0.699999999,-0.000915527,-0.699999999,0.002441406,-0.699999999,-0.002746582,-0.699999999,0.000610352,-0.699999999,-0.001831055,-0.699999999,0.002136231,-0.699999999,0.000305176,-0.699999999,0.046518832,0.3,-0.12118137
64,-0.599999999,0,-0.599999999,0.002441406,-0.599999999,-0.000305176,-0.599999999,-0.003356934,-0.599999999,0.001220703,-0.599999999,0.001525879,-0.599999999,-0.000610352,-0.599999999,0.002441406,-0.599999999,-0.001831055,-0.599999999,0,-0.599999999,-0.000915527,-0.599999999,0.002136231,-0.599999999,0.000305176,-0.599999999,0.041385543,0.399999999,-0.11676316
65,-0.499999999,0.000915527,-0.499999999,0.003967285,-0.499999999,0.001220703,-0.499999999,-0.000915527,-0.499999999,0.001525879,-0.499999999,0.001831055,-0.499999999,-0.000915527,-0.499999999,0.003662109,-0.499999999,-0.001525879,-0.499999999,0.000610352,-0.499999999,-0.000915527,-0.499999999,0.003051758,-0.499999999,0.001220703,-0.499999999,0.02962495,0.499999999,-0.10198899
